home_team,away_team,home_goals_E,away_goals_E,home_goals_D,away_goals_D,home_goals_C,away_goals_C,home_goals_B,away_goals_B,home_goals_A,away_goals_A
Qatar,Ecuador,0.7967374,1.5523652,0.88746256,1.5014796,0.69716555,1.2071961,0.7048318,0.9187506,0.5573067,1.2656028
Senegal,Netherlands,0.75134075,1.620837,0.84081507,1.7037985,0.6429245,1.7617936,0.7680315,1.5597599,0.69966143,1.3433112
England,Iran,1.4512212,0.80095875,1.238666,0.65918005,1.6298645,0.5628858,1.1228396,0.6479707,1.0542644,0.5276558
United States,Wales,1.0053678,1.0053678,0.9671673,0.9074756,0.9114858,0.9114858,0.9722322,0.8518952,0.7981414,0.6695423
Argentina,Saudi Arabia,2.2090628,0.61782193,2.3733292,0.5295732,2.1244133,0.23305576,2.157148,0.6147528,1.8743516,0.45760038
Mexico,Poland,0.9608665,0.9330396,1.1736909,1.023911,0.9650267,0.77395725,0.9259322,0.7414553,0.95612067,0.59946156
Denmark,Tunisia,1.8159926,0.64820296,1.6457573,0.5421799,2.002227,0.49367142,2.0500329,0.50238025,1.2722442,0.40713897
France,Australia,2.0753782,0.7011914,2.007719,0.4817046,1.8304387,0.4853938,1.6227309,0.6147528,1.8609806,0.48512924
Germany,Japan,1.3968602,0.8681952,1.1846379,0.71917695,1.6298645,0.72041655,1.1228396,0.6479707,1.0455922,0.51769084
Spain,Costa Rica,1.6677183,0.69666713,1.685884,0.6096818,1.8304387,0.4853938,1.6227309,0.7216832,1.5708262,0.5265511
Morocco,Croatia,0.86426,1.2746996,1.064429,1.4343004,0.82220316,1.3818778,0.6746631,0.94291747,0.6305147,1.2081847
Belgium,Canada,1.478435,0.78511983,1.2948714,0.71583295,1.6298645,0.5628858,1.1228396,0.6479707,1.1506895,0.5276558
Switzerland,Cameroon,1.8420519,0.69120955,1.8296707,0.55706054,1.382236,0.7264908,1.4654658,0.63173807,1.3678911,0.57297117
Brazil,Serbia,1.3818249,0.55721945,1.3811088,0.4818354,1.6716146,0.3158366,1.1568688,0.72531986,1.3932581,0.57286656
Uruguay,South Korea,1.3039001,0.88983077,1.1487235,0.8018256,1.23049,0.72041655,1.0741668,0.71915764,1.0695931,0.5305933
Portugal,Ghana,2.9160824,0.60695034,3.0054965,0.6031749,2.7573175,0.5799049,3.0278842,0.5603569,2.8945472,0.50322896
Qatar,Senegal,0.961436,1.2324367,0.8913251,1.2767571,0.8441992,0.93933517,0.7048318,0.86809385,0.7940932,0.86991876
Netherlands,Ecuador,1.2059083,0.8681952,1.0876886,0.7288303,1.5612193,0.72041655,0.92699283,0.6479707,0.71874493,0.5305933
Wales,Iran,1.0053678,1.015154,0.99397695,0.98416847,0.9114858,0.9114858,0.90104526,0.9722322,0.7981414,0.7981414
England,United States,1.4645035,0.78250617,1.4503062,0.5843522,1.9411341,0.87415546,1.4365755,0.72531986,1.3437884,0.6535215
Poland,Saudi Arabia,1.4783174,0.76634145,1.413812,0.63030547,1.1536553,0.5479125,0.90104526,0.66687787,1.1335609,0.5164742
