date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rating,away_rating,long,lat
2012-10-12,Antigua and Barbuda,United States,1.0,2.0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False,1284,1752,47.5614705,-52.7126162
2012-10-12,Argentina,Uruguay,3.0,0.0,FIFA World Cup qualification,Mendoza,Argentina,False,1928,1987,-34.787093049999996,-68.43818677312292
2012-10-12,Belarus,Spain,0.0,4.0,FIFA World Cup qualification,Minsk,Belarus,False,1585,2126,53.9024716,27.5618225
2012-10-12,Bulgaria,Denmark,1.0,1.0,FIFA World Cup qualification,Sofia,Bulgaria,False,1640,1805,-15.2538402,48.2562163
2012-10-12,Canada,Cuba,3.0,0.0,FIFA World Cup qualification,Toronto,Canada,False,1576,1384,43.6534817,-79.3839347
2012-10-12,Ecuador,Chile,3.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False,1784,1899,-0.2201641,-78.5123274
2012-10-12,El Salvador,Costa Rica,0.0,1.0,FIFA World Cup qualification,San Salvador,El Salvador,False,1577,1665,13.6989939,-89.1914249
2012-10-12,England,San Marino,5.0,0.0,FIFA World Cup qualification,London,England,False,1953,894,51.5073219,-0.1276474
2012-10-12,Guyana,Mexico,0.0,5.0,FIFA World Cup qualification,Houston,United States,True,1364,1867,29.7589382,-95.3676974
2012-10-12,Ireland,Germany,1.0,6.0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,1805,2043,53.3498006,-6.2602964
2012-10-12,Macedonia,Croatia,1.0,2.0,FIFA World Cup qualification,Skopje,North Macedonia,False,1495,1873,41.9960924,21.4316495
2012-10-12,Netherlands,Andorra,3.0,0.0,FIFA World Cup qualification,Rotterdam,Netherlands,False,2060,1006,51.9244424,4.47775
2012-10-12,Russia,Portugal,1.0,0.0,FIFA World Cup qualification,Moscow,Russia,False,1850,1888,55.7504461,37.6174943
2012-10-12,Serbia,Belgium,0.0,3.0,FIFA World Cup qualification,Belgrade,Serbia,False,1716,1684,44.8178131,20.4568974
2012-10-12,Switzerland,Norway,1.0,1.0,FIFA World Cup qualification,Berne,Switzerland,False,1763,1760,46.9482713,7.4514512
2012-10-12,Wales,Scotland,2.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False,1629,1693,51.4816546,-3.1791934
2012-10-16,Belgium,Scotland,2.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False,1684,1693,50.8465573,4.351697
2012-10-16,Bolivia,Uruguay,4.0,1.0,FIFA World Cup qualification,La Paz,Bolivia,False,1539,1987,-16.4955455,-68.1336229
2012-10-16,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Santiago,Chile,False,1899,1928,9.8694792,-83.7980749
